user_id	item_id	rating	timestep
1	105	3	1
2	228	2	1
2	85	4	2
3	167	5	1
3	266	3	2
4	52	3	1
4	35	4	2
4	251	4	3
4	161	5	4
4	9	3	5
4	3	5	6
5	196	5	1
5	95	4	2
5	67	5	3
5	28	5	4
6	1	5	1
6	105	4	2
6	202	3	3
6	42	4	4
6	121	3	5
6	44	4	6
7	176	4	1
7	30	3	2
7	79	1	3
8	199	4	1
8	12	4	2
9	162	5	1
9	75	5	2
9	98	3	3
9	225	5	4
9	27	5	5
9	193	4	6
9	229	5	7
9	273	5	8
9	268	5	9
9	158	5	10
9	192	4	11
9	29	3	12
9	78	3	13
10	195	4	1
10	61	5	2
10	258	5	3
10	224	4	4
10	79	3	5
10	76	3	6
10	207	5	7
10	17	4	8
10	139	5	9
10	199	5	10
11	236	4	1
11	89	3	2
11	132	4	3
11	74	5	4
11	263	4	5
12	130	5	1
12	7	5	2
13	14	5	1
13	54	5	2
13	156	5	3
13	107	5	4
13	163	4	5
14	100	5	1
14	159	4	2
14	60	4	3
14	207	5	4
15	25	4	1
15	177	4	2
15	41	4	3
15	174	4	4
15	35	5	5
16	53	4	1
16	155	4	2
16	89	3	3
16	74	3	4
16	137	2	5
16	186	5	6
17	116	5	1
17	78	4	2
17	120	3	3
17	167	4	4
17	221	4	5
17	99	5	6
17	244	5	7
17	63	5	8
17	98	3	9
18	180	4	1
18	112	5	2
18	176	5	3
18	123	3	4
18	69	5	5
18	4	5	6
18	211	5	7
18	261	5	8
19	175	4	1
19	125	3	2
19	124	5	3
19	2	5	4
19	154	4	5
20	71	4	1
20	42	5	2
